t, x
3.18000,8.72191
3.19000,8.61849
3.20000,8.67245
3.21000,8.66592
3.22000,8.66652
3.23000,8.68356
3.24000,8.55320
3.25000,8.61721
3.26000,8.58752
3.27000,8.65642
3.28000,8.72628
3.29000,8.63015
3.30000,8.55615
3.31000,8.62457
3.32000,8.61793
3.33000,8.49258
3.34000,8.25807
3.35000,8.24363
3.36000,8.20493
3.37000,8.07954
3.38000,8.08517
3.39000,8.10217
3.40000,8.03400
3.41000,7.83835
3.42000,7.83530
3.43000,7.86002
3.44000,7.88367
3.45000,7.88745
3.46000,8.05471
3.47000,7.99634
3.48000,7.87773
3.49000,7.82291
3.50000,7.95734
3.51000,7.95348
3.52000,7.68772
3.53000,7.70564
3.54000,7.53402
3.55000,7.47654
3.56000,7.59511
3.57000,7.49827
3.58000,7.42419
3.59000,7.41647
3.60000,7.51171
3.61000,7.51108
3.62000,7.56886
3.63000,7.49084
3.64000,7.53592
3.65000,7.47152
3.66000,7.50943
3.67000,7.42085
3.68000,7.45890
3.69000,7.47701
3.70000,7.44100
3.71000,7.42154
3.72000,7.51123
3.73000,7.50286
3.74000,7.52805
3.75000,7.49464
3.76000,7.37118
3.77000,7.37174
3.78000,7.42597
3.79000,7.52384
3.80000,7.70539
3.81000,7.69712
3.82000,7.87773
3.83000,7.83476
3.84000,7.83383
3.85000,7.72503
3.86000,7.99582
3.87000,7.92787
3.88000,8.17410
3.89000,8.22893
3.90000,8.28748
3.91000,8.49952
3.92000,8.41346
3.93000,8.30338
3.94000,8.36975
3.95000,8.27604
3.96000,8.09744
3.97000,8.01849
3.98000,7.97369
3.99000,7.93306
4.00000,8.04018
4.01000,7.97166
4.02000,7.92933
4.03000,8.00342
4.04000,8.04470
4.05000,7.98234
4.06000,7.92381
4.07000,8.03322
4.08000,8.16364
4.09000,8.15260
4.10000,8.27103
4.11000,8.27062
4.12000,8.27513
4.13000,8.13647
4.14000,8.16426
4.15000,8.13534
4.16000,8.22956
4.17000,8.35544
4.18000,8.18337
4.19000,8.10111
4.20000,8.17104
4.21000,8.18179
4.22000,8.11950
4.23000,8.27492
4.24000,8.39237
4.25000,8.39660
4.26000,8.42482
4.27000,8.43522
4.28000,8.56339
4.29000,8.55175
4.30000,8.57853
4.31000,8.66907
4.32000,8.49749
4.33000,8.51385
4.34000,8.57278
4.35000,8.68434
4.36000,8.66152
4.37000,8.62457
4.38000,8.70423
4.39000,8.88829
4.40000,8.92060
4.41000,8.77916
4.42000,8.76719
4.43000,8.61577
4.44000,8.59798
4.45000,8.54495
4.46000,8.43941
4.47000,8.34202
4.48000,8.32286
4.49000,8.30783
4.50000,8.17604
4.51000,8.00130
4.52000,7.86935
4.53000,7.78840
4.54000,7.81339
4.55000,7.78216
4.56000,7.83196
4.57000,7.80745
4.58000,7.75043
4.59000,7.76872
4.60000,7.75744
4.61000,7.66161
4.62000,7.70851
4.63000,7.47766
4.64000,7.56472
4.65000,7.45645
4.66000,7.53627
4.67000,7.48550
4.68000,7.71795
4.69000,7.70762
4.70000,7.76666
4.71000,7.80733
4.72000,7.67661
4.73000,7.69553
4.74000,7.68974
4.75000,7.68746
4.76000,7.85791
4.77000,7.93185
4.78000,7.85657
4.79000,7.80536
4.80000,7.74217
4.81000,7.73875
4.82000,7.74519
4.83000,7.79473
4.84000,7.71245
4.85000,7.71764
4.86000,7.62353
4.87000,7.54344
4.88000,7.43749
4.89000,7.39937
4.90000,7.45449
4.91000,7.48642
4.92000,7.53804
4.93000,7.60425
4.94000,7.67298
4.95000,7.81587
4.96000,7.66731
4.97000,7.63988
4.98000,7.60523
4.99000,7.78488
5.00000,7.73811
5.01000,7.69837
5.02000,7.80125
5.03000,7.61450
5.04000,7.44184
5.05000,7.51194
5.06000,7.44063
5.07000,7.33807
5.08000,7.22109
5.09000,7.32707
5.10000,7.20974
5.11000,7.33671
5.12000,7.31749
5.13000,7.32620
5.14000,7.34065
5.15000,7.43838
5.16000,7.47776
5.17000,7.54330
5.18000,7.52347
5.19000,7.57571
5.20000,7.66959
5.21000,7.62500
5.22000,7.51090
5.23000,7.65349
5.24000,7.70559
5.25000,7.59157
5.26000,7.71240
5.27000,7.78154
5.28000,7.74245
5.29000,7.65883
5.30000,7.68466
5.31000,7.55613
5.32000,7.60044
5.33000,7.54223
5.34000,7.54162
5.35000,7.64249
5.36000,7.59592
5.37000,7.57603
5.38000,7.54853
5.39000,7.56983
5.40000,7.63776
5.41000,7.74659
5.42000,7.65225
5.43000,7.58627
5.44000,7.59641
5.45000,7.61149
5.46000,7.55681
5.47000,7.39263
5.48000,7.46606
5.49000,7.45465
5.50000,7.38680
5.51000,7.49058
5.52000,7.49822
5.53000,7.37826
5.54000,7.41316
5.55000,7.33904
5.56000,7.37462
5.57000,7.28935
5.58000,7.37630
5.59000,7.46646
5.60000,7.80782
5.61000,7.71077
5.62000,7.63741
5.63000,7.55889
5.64000,7.50339
5.65000,7.46611
5.66000,7.40310
5.67000,7.35496
5.68000,7.43943
5.69000,7.46340
5.70000,7.37980
5.71000,7.45867
5.72000,7.32256
5.73000,7.42551
5.74000,7.59717
5.75000,7.52128
5.76000,7.56331
5.77000,7.36359
5.78000,7.29987
5.79000,7.28600
5.80000,7.17806
5.81000,7.10985
5.82000,7.17648
5.83000,7.05545
5.84000,7.18046
5.85000,7.17777
5.86000,7.22220
5.87000,7.32833
5.88000,7.40531
5.89000,7.41347
5.90000,7.43968
5.91000,7.47812
5.92000,7.57351
5.93000,7.61306
5.94000,7.68234
5.95000,7.81347
5.96000,7.89080
5.97000,7.83519
5.98000,7.90644
5.99000,7.71392
6.00000,7.65578
6.01000,7.60396
6.02000,7.44604
6.03000,7.44111
6.04000,7.44796
6.05000,7.47639
6.06000,7.44761
6.07000,7.37734
6.08000,7.26359
6.09000,7.04699
6.10000,7.07252
6.11000,7.13235
6.12000,7.19920
6.13000,7.22084
6.14000,7.33141
6.15000,7.14671
6.16000,7.21231
6.17000,7.20297
6.18000,7.20053
6.19000,7.36581
6.20000,7.51686
6.21000,7.44251
6.22000,7.35824
6.23000,7.46560
6.24000,7.41539
6.25000,7.36832
6.26000,7.34863
6.27000,7.25234
6.28000,7.33093
6.29000,7.20149
6.30000,7.12513
6.31000,7.17444
6.32000,7.15206
6.33000,7.09523
6.34000,7.07111
6.35000,6.95301
6.36000,7.19688
6.37000,7.07669
6.38000,7.03198
6.39000,7.07011
6.40000,6.96310
6.41000,7.00857
6.42000,7.27696
6.43000,7.45856
6.44000,7.49145
6.45000,7.66631
6.46000,7.77345
6.47000,7.66013
6.48000,7.56122
6.49000,7.73980
6.50000,7.69866
6.51000,7.67263
6.52000,7.69840
6.53000,7.74886
6.54000,7.82172
6.55000,7.81689
6.56000,7.87609
6.57000,7.69184
6.58000,7.61231
6.59000,7.74770
6.60000,7.55252
6.61000,7.72730
6.62000,7.80125
6.63000,7.94895
6.64000,7.97002
6.65000,7.87672
6.66000,7.71216
6.67000,7.74878
6.68000,7.94375
6.69000,7.82435
6.70000,7.81342
6.71000,7.89738
6.72000,7.84065
6.73000,7.86239
6.74000,7.95498
6.75000,8.02893
6.76000,8.06471
6.77000,8.10985
6.78000,8.07701
6.79000,8.06275
6.80000,8.09139
6.81000,7.91607
6.82000,8.08170
6.83000,8.04646
6.84000,8.06978
6.85000,8.11662
6.86000,8.09881
6.87000,8.11593
6.88000,8.07613
6.89000,8.24549
6.90000,8.10581
6.91000,8.11391
6.92000,8.01837
6.93000,8.11680
6.94000,8.17482
6.95000,8.16784
6.96000,8.18647
6.97000,8.01215
6.98000,7.94898
6.99000,7.87642
7.00000,7.82000
7.01000,7.67002
7.02000,7.58824
7.03000,7.54623
7.04000,7.69836
7.05000,7.56417
7.06000,7.49032
7.07000,7.57682
7.08000,7.49267
7.09000,7.54929
7.10000,7.69579
7.11000,7.57346
7.12000,7.63169
7.13000,7.50819
7.14000,7.56916
7.15000,7.58226
7.16000,7.57375
